iter	Passed	Remaining
0	59	29814
1	61	15201
2	62	10339
3	63	7926
4	65	6460
5	66	5489
6	68	4794
7	69	4269
8	70	3866
9	72	3540
10	73	3273
11	74	3049
12	76	2859
13	77	2694
14	78	2552
15	80	2429
16	81	2320
17	82	2222
18	84	2135
19	85	2055
20	87	1986
21	88	1925
22	89	1865
23	91	1811
24	92	1761
25	94	1717
26	95	1676
27	96	1635
28	98	1597
29	99	1562
30	100	1526
31	102	1495
32	103	1466
33	104	1438
34	106	1412
35	107	1386
36	108	1363
37	110	1341
38	111	1321
39	113	1300
40	114	1281
41	115	1261
42	117	1244
43	118	1226
44	119	1210
45	121	1194
46	122	1179
47	123	1165
48	125	1151
49	126	1138
50	127	1126
51	129	1114
52	130	1102
53	132	1090
54	133	1079
55	134	1067
56	136	1058
57	137	1048
58	138	1038
59	140	1029
60	141	1019
61	142	1009
62	144	1000
63	145	991
64	147	983
65	148	974
66	149	966
67	150	958
68	152	950
69	153	942
70	154	935
71	156	927
72	157	920
73	158	912
74	159	905
75	161	902
76	163	895
77	164	888
78	165	882
79	166	875
80	168	869
81	169	864
82	170	858
83	172	852
84	173	846
85	174	840
86	175	835
87	177	829
88	178	824
89	179	819
90	181	814
91	182	809
92	183	803
93	185	799
94	186	794
95	187	789
96	188	785
97	190	780
98	191	776
99	193	773
100	194	769
101	195	764
102	197	760
103	198	755
104	199	751
105	201	747
106	202	743
107	203	739
108	205	735
109	206	731
110	207	728
111	209	725
112	210	721
113	212	718
114	213	714
115	214	711
116	216	707
117	217	704
118	219	701
119	221	700
120	222	696
121	223	693
122	225	691
123	226	688
124	228	684
125	229	681
126	230	677
127	232	674
128	233	671
129	234	668
130	236	665
131	237	662
132	238	658
133	239	655
134	241	651
135	242	648
136	243	646
137	245	642
138	246	640
139	247	637
140	248	633
141	250	631
142	251	628
143	253	625
144	254	623
145	255	620
146	257	617
147	259	616
148	260	613
149	261	610
150	262	607
151	264	605
152	265	601
153	266	599
154	268	598
155	269	595
156	271	592
157	272	589
158	273	586
159	274	584
160	276	581
161	277	579
162	278	576
163	279	573
164	281	570
165	282	568
166	283	565
167	285	563
168	286	561
169	287	558
170	289	556
171	290	554
172	291	551
173	293	549
174	294	546
175	295	544
176	297	542
177	298	539
178	299	537
179	301	535
180	302	532
181	303	530
182	304	527
183	306	525
184	307	523
185	308	521
186	310	519
187	311	517
188	312	514
189	314	512
190	315	510
191	317	509
192	318	506
193	320	504
194	321	502
195	322	500
196	324	498
197	325	496
198	326	494
199	328	492
200	329	489
201	330	487
202	331	485
203	333	483
204	334	481
205	335	479
206	336	476
207	338	474
208	339	472
209	341	470
210	342	468
211	343	466
212	344	464
213	346	462
214	347	460
215	348	458
216	349	456
217	351	454
218	352	452
219	353	450
220	355	448
221	356	446
222	357	444
223	359	442
224	360	440
225	361	438
226	362	436
227	364	434
228	365	432
229	366	430
230	367	428
231	369	426
232	370	424
233	371	422
234	373	420
235	374	418
236	375	417
237	376	414
238	378	413
239	379	411
240	380	409
241	382	407
242	383	405
243	385	404
244	386	402
245	387	400
246	389	398
247	390	397
248	392	395
249	393	393
250	394	391
251	396	389
252	397	387
253	398	386
254	399	384
255	401	382
256	402	380
257	404	379
258	405	377
259	406	375
260	408	373
261	409	371
262	410	370
263	411	368
264	413	366
265	414	364
266	415	362
267	416	360
268	418	359
269	419	357
270	420	355
271	422	354
272	423	352
273	425	350
274	426	349
275	427	347
276	429	345
277	430	343
278	431	342
279	433	340
280	434	338
281	435	336
282	437	335
283	438	333
284	439	331
285	441	329
286	442	328
287	444	327
288	445	325
289	447	323
290	448	322
291	449	320
292	450	318
293	452	316
294	453	315
295	454	313
296	456	311
297	457	309
298	458	308
299	459	306
300	461	304
301	462	303
302	463	301
303	465	299
304	466	298
305	467	296
306	469	294
307	470	293
308	471	291
309	473	289
310	474	288
311	475	286
312	476	284
313	478	283
314	479	281
315	481	280
316	482	278
317	483	276
318	485	275
319	486	273
320	487	272
321	489	270
322	490	268
323	491	267
324	493	265
325	494	263
326	495	262
327	497	260
328	498	259
329	499	257
330	500	255
331	501	253
332	503	252
333	504	250
334	506	249
335	507	247
336	508	246
337	509	244
338	511	242
339	512	241
340	513	239
341	515	237
342	516	236
343	517	234
344	518	233
345	520	231
346	521	229
347	522	228
348	524	226
349	525	225
350	526	223
351	528	222
352	529	220
353	531	219
354	532	217
355	533	215
356	535	214
357	536	212
358	537	211
359	539	209
360	540	208
361	541	206
362	542	204
363	544	203
364	545	201
365	546	200
366	547	198
367	549	197
368	550	195
369	551	193
370	553	192
371	554	190
372	556	189
373	557	187
374	558	186
375	560	184
376	561	183
377	562	181
378	563	180
379	565	178
380	566	176
381	567	175
382	569	173
383	570	172
384	571	170
385	572	169
386	574	167
387	575	166
388	576	164
389	577	163
390	579	161
391	581	160
392	582	158
393	584	157
394	586	155
395	587	154
396	589	152
397	590	151
398	591	149
399	593	148
400	594	146
401	596	145
402	597	143
403	598	142
404	600	140
405	601	139
406	603	137
407	604	136
408	606	134
409	607	133
410	609	131
411	610	130
412	612	128
413	613	127
414	615	125
415	616	124
416	617	122
417	619	121
418	620	119
419	621	118
420	623	116
421	624	115
422	625	113
423	626	112
424	628	110
425	629	109
426	630	107
427	632	106
428	633	104
429	635	103
430	636	101
431	637	100
432	639	99
433	641	97
434	642	96
435	643	94
436	645	93
437	646	91
438	647	90
439	649	88
440	650	87
441	651	85
442	653	84
443	654	82
444	655	81
445	656	79
446	658	78
447	659	76
448	660	75
449	662	73
450	663	72
451	664	70
452	665	69
453	667	67
454	668	66
455	670	64
456	671	63
457	672	61
458	674	60
459	675	58
460	677	57
461	678	55
462	679	54
463	680	52
464	682	51
465	683	49
466	684	48
467	686	46
468	687	45
469	688	43
470	689	42
471	691	40
472	692	39
473	694	38
474	695	36
475	696	35
476	698	33
477	699	32
478	701	30
479	702	29
480	703	27
481	704	26
482	706	24
483	707	23
484	708	21
485	710	20
486	711	18
487	712	17
488	713	16
489	715	14
490	716	13
491	717	11
492	719	10
493	720	8
494	721	7
495	723	5
496	724	4
497	726	2
498	727	1
499	728	0
